Event Time;Time Span
1.060711347;1.060711347
5.092158728;1.092158728
8.621590879;0.621590879
12.524755754;0.524755754
17.534883514;1.534883514
20.662735044;0.662735044
25.954374102;1.954374102
29.448266727;1.448266727
33.872206934;1.872206934
37.145822621;1.145822621
41.569285201;1.569285201
45.608378738;1.608378738
49.554124799;1.554124799
53.091683172;1.091683172
57.837755605;1.837755605
61.084979661;1.084979661
65.847120636;1.847120636
68.890141605;0.890141605
72.395130767;0.395130767
77.381688271;1.381688271
81.215345146;1.215345146
84.848053602;0.848053602
88.502949989;0.502949989
92.206050144;0.206050144
97.234522389;1.234522389
101.828950634;1.828950634
104.059802292;0.059802292
109.998426331;1.998426331
113.4215655;1.4215655
116.069474548;0.069474548
120.031453333;0.031453333
124.884668736;0.884668736
129.530595831;1.530595831
133.855182809;1.855182809
136.533052905;0.533052905
141.873676779;1.873676779
144.770074129;0.770074129
149.204518298;1.204518298
152.476061143;0.476061143
156.018645789;0.018645789
161.829574906;1.829574906
165.141781896;1.141781896
169.322982982;1.322982982
173.067947307;1.067947307
177.704952294;1.704952294
181.304138474;1.304138474
185.035360387;1.035360387
189.526891383;1.526891383
192.503130567;0.503130567
197.924226111;1.924226111
201.839025769;1.839025769
205.861407318;1.861407318
208.552927148;0.552927148
213.506448253;1.506448253
216.470605138;0.470605138
221.205735268;1.205735268
225.002361396;1.002361396
229.917206031;1.917206031
233.797589049;1.797589049
237.384473466;1.384473466
240.316588427;0.316588427
245.776138964;1.776138964
249.2478012;1.2478012
253.016673314;1.016673314
257.093046706;1.093046706
261.694584113;1.694584113
264.754581597;0.754581597
268.140960571;0.140960571
273.180899964;1.180899964
276.263417446;0.263417446
281.107760665;1.107760665
285.540950977;1.540950977
289.427802724;1.427802724
292.662823613;0.662823613
297.878214505;1.878214505
301.991530181;1.991530181
304.451133357;0.451133357
308.466331781;0.466331781
313.964077165;1.964077165
317.196535292;1.196535292
321.672353909;1.672353909
325.433942885;1.433942885
328.499998942;0.499998942
332.790680471;0.790680471
337.971885193;1.971885193
341.310401149;1.310401149
345.494356406;1.494356406
349.775006391;1.775006391
353.055397245;1.055397245
357.801990291;1.801990291
361.169176062;1.169176062
365.114660597;1.114660597
368.212735964;0.212735964
373.674898011;1.674898011
377.584481775;1.584481775
381.399237592;1.399237592
385.563229568;1.563229568
389.965321158;1.965321158
393.994702314;1.994702314
397.928907175;1.928907175
400.877289958;0.877289958
405.300446982;1.300446982
409.773389877;1.773389877
413.420649357;1.420649357
417.26258722;1.26258722
420.379069612;0.379069612
425.236188387;1.236188387
429.66429438;1.66429438
432.953570072;0.953570072
437.606037837;1.606037837
441.689699692;1.689699692
445.773647792;1.773647792
449.971987603;1.971987603
453.338241334;1.338241334
457.627079285;1.627079285
460.520319103;0.520319103
465.153968851;1.153968851
469.493169004;1.493169004
472.664631968;0.664631968
477.223745574;1.223745574
481.616604119;1.616604119
485.021496405;1.021496405
489.856001638;1.856001638
492.798386225;0.798386225
497.672935083;1.672935083
500.098840305;0.098840305
504.360017077;0.360017077
509.403915669;1.403915669
513.47998661;1.47998661
517.048107828;1.048107828
521.336401957;1.336401957
525.187563768;1.187563768
529.264427924;1.264427924
533.127729273;1.127729273
537.986438584;1.986438584
541.914704189;1.914704189
545.926865908;1.926865908
549.623431409;1.623431409
553.322965711;1.322965711
557.861614725;1.861614725
561.158766011;1.158766011
565.325831791;1.325831791
569.318299718;1.318299718
573.786971673;1.786971673
577.308561921;1.308561921
581.244182462;1.244182462
585.838703247;1.838703247
589.57733617;1.57733617
593.217550858;1.217550858
597.37098244;1.37098244
601.728386773;1.728386773
605.200495271;1.200495271
609.098005233;1.098005233
613.345928613;1.345928613
617.883612085;1.883612085
621.386539679;1.386539679
625.417222004;1.417222004
629.316770081;1.316770081
633.208186225;1.208186225
637.954091247;1.954091247
641.994680245;1.994680245
645.928318555;1.928318555
649.727513222;1.727513222
652.698225284;0.698225284
657.362282608;1.362282608
661.823627537;1.823627537
664.370616401;0.370616401
669.779549938;1.779549938
673.616208808;1.616208808
676.9907269;0.9907269
681.14762351;1.14762351
685.825291919;1.825291919
689.859355547;1.859355547
693.457525922;1.457525922
697.504613175;1.504613175
701.745223809;1.745223809
705.211699166;1.211699166
709.848736173;1.848736173
713.72649236;1.72649236
717.726994705;1.726994705
720.119213762;0.119213762
725.335398821;1.335398821
728.801849714;0.801849714
733.800121267;1.800121267
737.02585615;1.02585615
741.36673156;1.36673156
745.93831894;1.93831894
748.767064565;0.767064565
753.320194053;1.320194053
757.845910279;1.845910279
760.492522275;0.492522275
765.54432569;1.54432569
769.728010297;1.728010297
773.075488882;1.075488882
777.097989502;1.097989502
780.083095855;0.083095855
785.566290591;1.566290591
789.09432807;1.09432807
793.199757789;1.199757789
797.987646313;1.987646313
800.545894521;0.545894521
805.792075084;1.792075084
809.979592166;1.979592166
813.798624686;1.798624686
816.13789556;0.13789556
821.829497081;1.829497081
825.78376487;1.78376487
829.246709614;1.246709614
833.249333383;1.249333383
837.85584846;1.85584846
841.848205345;1.848205345
845.680650324;1.680650324
849.410000163;1.410000163
852.129611709;0.129611709
857.066305573;1.066305573
861.664207046;1.664207046
865.00660966;1.00660966
869.386139996;1.386139996
873.543420363;1.543420363
877.946064224;1.946064224
881.131513771;1.131513771
885.100747617;1.100747617
889.7367261;1.7367261
893.386615288;1.386615288
896.370129067;0.370129067
901.908914512;1.908914512
905.650589392;1.650589392
909.625533017;1.625533017
912.295593279;0.295593279
917.236501624;1.236501624
921.774613023;1.774613023
924.053048614;0.053048614
929.153334125;1.153334125
932.917157753;0.917157753
937.058584011;1.058584011
940.756868787;0.756868787
944.145495121;0.145495121
949.942926363;1.942926363
953.077722905;1.077722905
957.005730091;1.005730091
961.850014305;1.850014305
964.013231877;0.013231877
968.352878853;0.352878853
