2014-02-03 18:30:11;iteration;computing time in ms; number of candidates; best predicted value;
2014-02-03 18:30:22;0;10691;1;62.7320218986;
2014-02-03 18:30:58;1;36637;5;62.4306219344;
2014-02-03 18:31:45;2;46389;23;62.7320218986;
2014-02-03 18:32:31;3;46019;108;62.4306219344;
2014-02-03 18:32:56;4;24876;469;62.41601569886023;
