response time:BRS_usage_scenario;RT of SEFF for Allocation_AC_Scheduler <Scheduler>.Scheduler.login;RT of SEFF for Allocation_AC_CacheInfo <CacheInfo>.CacheInfo.doCacheAccess;RT of SEFF for Allocation_AC_ReportingEngine <ReportingEngine>.InnerCoreReportingEngine.finishView;RT of SEFF for Allocation_Assembly_CoreReportingEngine2_gr <CoreReportingEngine2> <CoreReportingEngine2>.InnerCoreReportingEngine.getReport;RT of SEFF for Allocation_Assembly_GraphicalReporting <GraphicalReporting> <GraphicalReporting>.GraphicalReporting.viewGraphically;RT of SEFF for Allocation_AC_Scheduler <Scheduler>.Scheduler.report;RT of SEFF for Allocation_Assembly_CoreReportingEngine2_gr <CoreReportingEngine2> <CoreReportingEngine2>.InnerCoreReportingEngine.getView;RT of SEFF for Allocation_AC_Scheduler <Scheduler>.Scheduler.logout;RT of SEFF for Allocation_AC_DB <DB>.Database.getCachedData;RT of SEFF for Allocation_AC_ReportingEngine <ReportingEngine>.InnerCoreReportingEngine.getReport;RT of SEFF for Allocation_Assembly_OnlineReporting <OnlineReporting> <OnlineReporting>.OnlineReporting.onlineReport;RT of SEFF for Allocation_AC_UserManagement <UserManagement> <UserManagement>.UserManagement.userLogout;RT of SEFF for Allocation_AC_ReportingEngine <ReportingEngine>.InnerCoreReportingEngine.getView;RT of SEFF for Allocation_AC_UserManagement <UserManagement> <UserManagement>.UserManagement.userLogin;RT of SEFF for Allocation_AC_ReportingEngine <ReportingEngine>.CRESingleMessageAdapter.getBigReport;RT of SEFF for Allocation_AC_DB <DB>.Database.getBigReport;RT of SEFF for Allocation_Assembly_GraphicalReporting <GraphicalReporting> <GraphicalReporting>.GraphicalReporting.graphicalReport;RT of SEFF for Allocation_AC_UserManagement <UserManagement> <UserManagement>.UserManagement.logUserActivity;RT of SEFF for Allocation_AC_Scheduler <Scheduler>.Scheduler.view;RT of SEFF for Allocation_Assembly_CoreReportingEngine2_gr <CoreReportingEngine2> <CoreReportingEngine2>.CRESingleMessageAdapter.getBigReport;RT of SEFF for Allocation_Assembly_OnlineReporting <OnlineReporting> <OnlineReporting>.OnlineReporting.viewOnline;RT of SEFF for Allocation_AC_ReportingEngine <ReportingEngine>.InnerCoreReportingEngine.prepareView;lower bound confidence(response time:BRS_usage_scenario);upper bound confidence(response time:BRS_usage_scenario);alpha(response time:BRS_usage_scenario);ContinuousProcessingRateDegreeImpl:server1:CPU;SchedulingPolicyDegreeImpl:server1:CPU;ContinuousProcessingRateDegreeImpl:server1:HDD;SchedulingPolicyDegreeImpl:server1:HDD;ContinuousProcessingRateDegreeImpl:server2:CPU;SchedulingPolicyDegreeImpl:server2:CPU;ContinuousProcessingRateDegreeImpl:server2:HDD;SchedulingPolicyDegreeImpl:server2:HDD;ContinuousProcessingRateDegreeImpl:server4:CPU;SchedulingPolicyDegreeImpl:server4:CPU;ContinuousProcessingRateDegreeImpl:server4:HDD;SchedulingPolicyDegreeImpl:server4:HDD;ContinuousProcessingRateDegreeImpl:server3:CPU;SchedulingPolicyDegreeImpl:server3:CPU;ContinuousProcessingRateDegreeImpl:server3:HDD;SchedulingPolicyDegreeImpl:server3:HDD;AssembledComponentDegreeImpl:Assembly_CoreReportingEngine2_gr <CoreReportingEngine2>;AssembledComponentDegreeImpl:AC_CoreReportingEngine_Onl;AssembledComponentDegreeImpl:AC_DB;AssembledComponentDegreeImpl:AC_CacheInfo;AssembledComponentDegreeImpl:Assembly_OnlineReporting <OnlineReporting>;AllocationDegreeImpl:Allocation_AC_Webserver <WebServer>;AllocationDegreeImpl:Allocation_AC_Scheduler <Scheduler>;AllocationDegreeImpl:Allocation_AC_DB <DB>;AllocationDegreeImpl:Allocation_AC_ReportingEngine <ReportingEngine>;AllocationDegreeImpl:Allocation_AC_CacheInfo <CacheInfo>;AllocationDegreeImpl:Allocation_Assembly_GraphicalReporting <GraphicalReporting> <GraphicalReporting>;AllocationDegreeImpl:Allocation_Assembly_OnlineReporting <OnlineReporting> <OnlineReporting>;AllocationDegreeImpl:Allocation_AC_UserManagement <UserManagement> <UserManagement>;AllocationDegreeImpl:Allocation_Assembly_CoreReportingEngine2_gr <CoreReportingEngine2> <CoreReportingEngine2>;CapacityDegreeImpl:DBConnectionPool;Util of server1 CPU;Util of server1 HDD;Util of server2 CPU;Util of server2 HDD;Util of server4 CPU;Util of server4 HDD;Util of server3 CPU;Util of server3 HDD;Util of network LAN;Candidate ID;
62.4306219344;8.1454445856;5.5107953417316535;1.1301142205820227E-6;0.595995545778465;0.0014147794225925208;6.750753984005424;5.554349471463327;6.745711303400001;0.029491368933969767;0.7924441955804201;0.7305243642283765;0.0393718774;6.750621480914203;6.990705256692494;0.5821957445383511;0.014735441129673827;0.0;0.026342664000000002;0.9298114734093446;0.6602204561898815;0.5815560395689188;0.5815269401206357;62.36121594898332;62.44432214707734;0.9;10.0;ProcessorSharing;8.0;ProcessorSharing;10.0;ProcessorSharing;8.0;ProcessorSharing;10.0;ProcessorSharing;8.0;ProcessorSharing;10.0;ProcessorSharing;8.0;ProcessorSharing;CoreReportingEngine2;CoreReportingEngine;Database;CacheInfo;OnlineReporting;server1;server2;server3;server4;server4;server1;server2;server2;server4;1;0.5777717751104902;0.0;0.23096724789004486;0.0;0.10628803432754785;0.0;0.6742954552266676;0.32457928689865934;0.0;645;
62.4306219344;8.1454445856;5.5107953417316535;1.1301142205820227E-6;0.595995545778465;0.0014147794225925208;6.750753984005424;5.554349471463327;6.745711303400001;0.029491368933969767;0.7924441955804201;0.7305243642283765;0.0393718774;6.750621480914203;6.990705256692494;0.5821957445383511;0.014735441129673827;0.0;0.026342664000000002;0.9298114734093446;0.6602204561898815;0.5815560395689188;0.5815269401206357;62.36121594898332;62.44432214707734;0.9;10.0;ProcessorSharing;8.0;ProcessorSharing;10.0;ProcessorSharing;8.0;ProcessorSharing;10.0;ProcessorSharing;8.0;ProcessorSharing;10.0;ProcessorSharing;8.0;ProcessorSharing;CoreReportingEngine2;CoreReportingEngine;Database;CacheInfo;OnlineReporting;server1;server2;server3;server4;server4;server1;server2;server2;server4;1;0.5777717751104902;0.0;0.23096724789004486;0.0;0.10628803432754785;0.0;0.6742954552266676;0.32457928689865934;0.0;646;
66.70557789144343;1.0871553940963232;0.7565816337928827;6.997261698537324;0.06683347680927629;6.997650965087083;0.6419766884513369;0.7388793556322603;0.5982532230720204;0.1003238768492603;0.6030187149991637;0.0038085829405647025;8.786131768492602;0.0726775177008751;5.748656998286374;0.03638788862370724;7.317948211245141;5.65613694523286;1.1100907444871E-6;0.6020913718329117;0.0;6.9286209604158335;0.8190258158516677;66.54761903065575;66.64072716104427;0.9;10.0;ProcessorSharing;8.0;ProcessorSharing;10.0;ProcessorSharing;8.0;ProcessorSharing;10.0;ProcessorSharing;8.0;ProcessorSharing;10.0;ProcessorSharing;8.0;ProcessorSharing;CoreReportingEngine2;CoreReportingEngine;Database;CacheInfo;OnlineReporting;server1;server2;server1;server4;server4;server2;server2;server2;server4;1;0.7097785846576821;0.3051212682400284;0.6851399032384893;0.0;0.10003580466719841;0.0;0.0;0.0;0.0;647;
66.70557789144343;1.0871553940963232;0.7565816337928827;6.997261698537324;0.06683347680927629;6.997650965087083;0.6419766884513369;0.7388793556322603;0.5982532230720204;0.1003238768492603;0.6030187149991637;0.0038085829405647025;8.786131768492602;0.0726775177008751;5.748656998286374;0.03638788862370724;7.317948211245141;5.65613694523286;1.1100907444871E-6;0.6020913718329117;0.0;6.9286209604158335;0.8190258158516677;66.54761903065575;66.64072716104427;0.9;10.0;ProcessorSharing;8.0;ProcessorSharing;10.0;ProcessorSharing;8.0;ProcessorSharing;10.0;ProcessorSharing;8.0;ProcessorSharing;10.0;ProcessorSharing;8.0;ProcessorSharing;CoreReportingEngine2;CoreReportingEngine;Database;CacheInfo;OnlineReporting;server1;server2;server1;server4;server4;server2;server2;server2;server4;1;0.7097785846576821;0.3051212682400284;0.6851399032384893;0.0;0.10003580466719841;0.0;0.0;0.0;0.0;648;
102.5069646338;0.0;0.0029253529848061333;0.06484138079140982;1.3163121330528753;12.7530681046;11.508584001828822;1.3248138390593862;1.03386855319912;11.241259200207386;9.200317675704772;0.032107911910916685;11.241516733508814;1.0676803578733735E-6;11.3494576766;1.00415862331038;0.079440745;0.052868046;0.9917941789956157;9.2844837738;1.2539726331220002;1.0019703129873407;1.1002187368658762;102.39298661844391;102.51538345444423;0.9;10.0;ProcessorSharing;8.0;ProcessorSharing;10.0;ProcessorSharing;8.0;ProcessorSharing;10.0;ProcessorSharing;8.0;ProcessorSharing;10.0;ProcessorSharing;8.0;ProcessorSharing;CoreReportingEngine2;CoreReportingEngine;Database;CacheInfo;OnlineReporting;server1;server2;server2;server4;server4;server2;server2;server2;server4;1;0.050254463687076645;0.0;0.8802843121590903;0.20334021346116615;0.06676713001388312;0.0;0.0;0.0;0.0;649;
67.831577018;0.6140930332140381;5.732426880247901;7.021906489004398;0.099835145;0.6102633063095381;0.07120274602227526;7.123941200295138;0.767727654639634;7.4455472677817305;0.6132257548888062;0.8329744544578245;0.066485999;5.850069189272183;0.6541105411887549;0.0039268401809043;8.9131201024;0.03565771439936356;0.0;0.7533611578765577;1.910823118082455E-6;1.108754859021882;7.124342567861842;67.7160770378678;67.80695582794222;0.9;10.0;ProcessorSharing;8.0;ProcessorSharing;10.0;ProcessorSharing;8.0;ProcessorSharing;10.0;ProcessorSharing;8.0;ProcessorSharing;10.0;ProcessorSharing;8.0;ProcessorSharing;CoreReportingEngine2;CoreReportingEngine;Database;CacheInfo;OnlineReporting;server1;server2;server4;server4;server4;server2;server2;server2;server4;1;0.07416953522015712;0.0;0.6746148154318141;0.0;0.722949862392141;0.3003272724908198;0.0;0.0;0.0;650;
68.028654053;7.464122316759776;0.025981865800000004;6.1198927884;0.6774568637925947;0.0;0.6615222828887029;8.4876559166;0.014493309268098649;0.0013824902692703893;0.663339468631626;0.8238612575281751;0.038960254799999997;0.9072172692507078;7.4757303104;7.642109149135062;1.992233040676858E-6;7.463993683519553;0.662797282706647;0.7241583392612677;6.112066687851586;0.029060199482895788;0.8733655639512788;67.94389414822574;68.0508250323093;0.9;10.0;ProcessorSharing;8.0;ProcessorSharing;10.0;ProcessorSharing;8.0;ProcessorSharing;10.0;ProcessorSharing;8.0;ProcessorSharing;10.0;ProcessorSharing;8.0;ProcessorSharing;CoreReportingEngine2;CoreReportingEngine;Database;CacheInfo;OnlineReporting;server1;server2;server4;server4;server4;server3;server2;server2;server4;1;0.0739640509091829;0.0;0.21324952103394124;0.0;0.7216088204943707;0.29969376383536184;0.4595831621596461;0.0;0.0;651;
67.124365764;0.9528838557803212;5.996408406955826;0.6383252029766657;0.0;7.452459140878464;0.014665763922036593;0.6399893185447384;2.5082286912307627E-6;0.029271558671439938;5.9673413608941095;0.6534368932151665;8.6390561594;7.3083815854;0.7112934837392062;0.0389493434;0.7956308003203453;7.2747446893356145;7.274619441260336;0.8532601801568904;0.0013242807173489278;0.6394083668012184;0.0260134956;67.02751582828581;67.10859493430111;0.9;10.0;ProcessorSharing;8.0;ProcessorSharing;10.0;ProcessorSharing;8.0;ProcessorSharing;10.0;ProcessorSharing;8.0;ProcessorSharing;10.0;ProcessorSharing;8.0;ProcessorSharing;CoreReportingEngine2;CoreReportingEngine;Database;CacheInfo;OnlineReporting;server1;server2;server1;server4;server4;server4;server2;server2;server4;1;0.7053815561962712;0.5409999847625422;0.18446200555859216;0.0;0.5442929880471525;0.0;0.0;0.0;0.0;652;
76.1344559322;8.555244514862348;6.872431662134143;0.9816951781615472;8.367230709458108;0.813120881433268;8.39164025518424;1.0788054594815723E-6;0.021925877088305488;0.9318120694071681;6.86920243542583;0.744463583116821;0.7674664046575386;0.7444368053883863;9.2968575734;0.04444440354017502;0.040634349;0.0;0.9597134428281057;0.0022390377928698337;0.062127593;8.391849364691339;0.7443297211901836;76.06937400223521;76.15904148754782;0.9;10.0;ProcessorSharing;8.0;ProcessorSharing;10.0;ProcessorSharing;8.0;ProcessorSharing;10.0;ProcessorSharing;8.0;ProcessorSharing;10.0;ProcessorSharing;8.0;ProcessorSharing;CoreReportingEngine2;CoreReportingEngine;Database;CacheInfo;OnlineReporting;server1;server2;server2;server4;server4;server3;server2;server2;server4;1;0.06658373709179333;0.0;0.7518563455317571;0.2691401339153525;0.08835419209671957;0.0;0.4136089436890018;0.0;0.0;653;
68.028654053;7.464122316759776;0.025981865800000004;6.1198927884;0.6774568637925947;0.0;0.6615222828887029;8.4876559166;0.014493309268098649;0.0013824902692703893;0.663339468631626;0.8238612575281751;0.038960254799999997;0.9072172692507078;7.4757303104;7.642109149135062;1.992233040676858E-6;7.463993683519553;0.662797282706647;0.7241583392612677;6.112066687851586;0.029060199482895788;0.8733655639512788;67.94389414822574;68.0508250323093;0.9;10.0;ProcessorSharing;8.0;ProcessorSharing;10.0;ProcessorSharing;8.0;ProcessorSharing;10.0;ProcessorSharing;8.0;ProcessorSharing;10.0;ProcessorSharing;8.0;ProcessorSharing;CoreReportingEngine2;CoreReportingEngine;Database;CacheInfo;OnlineReporting;server1;server2;server4;server4;server4;server3;server2;server2;server4;1;0.0739640509091829;0.0;0.21324952103394124;0.0;0.7216088204943707;0.29969376383536184;0.4595831621596461;0.0;0.0;654;
