2014-02-03 12:44:12;iteration;computing time in ms; number of candidates; best predicted value;
2014-02-03 12:44:22;0;10405;1;62.7320218986;
2014-02-03 12:44:56;1;34398;10;62.4306219344;
2014-02-03 12:45:41;2;44569;92;62.7320218986;
2014-02-03 12:46:54;3;73367;864;62.4306219344;
2014-02-03 14:45:06;4;7091772;7504;62.41601569886023;
